node_type,count
time:Instant,2351087
mus:M28_Individual_Performance,1076749
ecrm:E52_Time-Span,1002428
time:Interval,1002424
ecrm:E7_Activity,909795
efrbroo:F28_Expression_Creation,742685
mus:M156_Title_Statement,639721
ecrm:E13_Attribute_Assignment,573749
efrbroo:F22_Self-Contained_Expression,535579
mus:M46_Set_of_Tracks,483310
mus:M44_Performed_Work,482892
mus:M43_Performed_Expression,482892
mus:M42_Performed_Expression_Creation,480598
efrbroo:F14_Individual_Work,477416
efrbroo:F15_Complex_Work,464062
mus:M19_Categorization,427034
mus:M23_Casting_Detail,417747
efrbroo:F26_Recording,397722
efrbroo:F21_Recording_Work,397721
ecrm:E21_Person,365072
mus:M157_Statement_of_Responsibility,353040
efrbroo:F24_Publication_Expression,256629
efrbroo:F20_Performance_Work,234131
efrbroo:F30_Publication_Event,223167
efrbroo:F25_Performance_Plan,210239
mus:M160_Publication_Statement,210085
mus:M161_Distribution_Statement,206663
efrbroo:F31_Performance,206411
efrbroo:F3_Manifestation_Product_Type,204351
mus:M6_Casting,198435
efrbroo:F19_Publication_Work,189408
mus:M158_Title_and_Statement_of_Responsibility,187828
ecrm:E42_Identifier,175098
mus:M155_Cast_Statement,173015
efrbroo:F29_Recording_Event,172995
efrbroo:F42_Representative_Expression_Assignment,135472
ecrm:E54_Dimension,128154
ecrm:E67_Birth,111517
mus:M31_Actor_Function,102724
mus:M29_Editing,91363
efrbroo:F38_Character,77442
mus:M24_Track,67424
mus:M171_Container,64070
ecrm:E69_Death,53314
efrbroo:F11_Corporate_Body,45968
mus:M2_Opus_Statement,34321
mus:M1_Catalogue_Statement,33461
ecrm:E53_Place,30547
efrbroo:F25_PerformancePlan,26188
mus:M27_Foreseen_Individual_Performance,19998
mus:M167_Publication_Expression_Fragment,16591
efrbroo:F4_Manifestation_Singleton,15267
mus:M39_Derivation_Type_Assignment,13789
skos:Concept,12727
mus:M15_Dedication_Statement,6973
mus:M33_Set_of_Characters,6569
mus:M45_Descriptive_Expression_Assignment,6358
mus:M15_Dedication,4905
mus:M14_Medium_Of_Performance,4755
efrbroo:F19_Publication_Expression,4620
ecrm:E1_CRM_Entity,4602
mus:M154_Label_Name,3951
mus:M26_Foreseen_Performance,3832
geonames:Feature,3727
foaf:Document,3727
efrbroo:F32_Carrier_Production_Event,3480
ecrm:E39_Actor,1981
mus:M40_Context,1480
mus:M159_Edition_Statement,1349
ecrm:E66_Formation,1312
mus:M50_Creation_or_Performance_Mode,972
mus:M4_Key,868
mus:M25_Foreseen_Activity,435
mus:M5_Genre,393
mus:M36_Award,180
modsrdf:NoteGroup,170
modsrdf:ModsResource,152
ecrm:E22_Man-Made_Object,72
ecrm:E68_Dissolution,66
skos:ConceptScheme,32
ecrm:E4_Period,25
time:ProperInterval,15
skos:Collection,9
foaf:Organization,4
mus:M175_Music_Format,4
modsrdf:IdentifierGroup,2
mus:M60_Intended_Audience,1
mus:M169_Carrier_Type,1
foaf:Project,1
